common_name;scientific_name;start_time;end_time;confidence;label;filepath;filename;validScientificNameId;Species_NorwegianName;Family_ScientificName;Family_NorwegianName;Order_ScientificName;Order_NorwegianName;Family_ScientificNameId;Order_ScientificNameId;Species_ScientificNameId;Redlist_Status
European Pied Flycatcher;Ficedula hypoleuca;243.0;246.0;0.6112329959869385;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
European Pied Flycatcher;Ficedula hypoleuca;249.0;252.0;0.9766517281532288;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;258.0;261.0;0.7166571617126465;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
Twite;Linaria flavirostris;270.0;273.0;0.9317579865455627;Linaria flavirostris_Twite;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;204597;bergirisk;Fringillidae;finkefamilien;Passeriformes;spurvefugler;;;204597;LC
Common Gull;Larus canus;279.0;282.0;0.8322658538818359;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;285.0;288.0;0.8023092746734619;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;288.0;291.0;0.7683703303337097;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;297.0;300.0;0.6090664863586426;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;300.0;303.0;0.6532433032989502;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;303.0;306.0;0.8184401988983154;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;306.0;309.0;0.679999589920044;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Common Gull;Larus canus;312.0;315.0;0.6856955885887146;Larus canus_Common Gull;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;3681;fiskemåke;Laridae;måkefamilien;Charadriiformes;vade-, måke- og alkefugler;;;3681;VU
Fieldfare;Turdus pilaris;315.0;318.0;0.779427170753479;Turdus pilaris_Fieldfare;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4559;gråtrost;Turdidae;trostefamilien;Passeriformes;spurvefugler;;;4559;LC
European Pied Flycatcher;Ficedula hypoleuca;333.0;336.0;0.9793434143066406;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;342.0;345.0;0.8686231970787048;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
European Pied Flycatcher;Ficedula hypoleuca;348.0;351.0;0.6489713788032532;Ficedula hypoleuca_European Pied Flycatcher;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4348;svarthvit fluesnapper;Muscicapidae;fluesnapperfamilien;Passeriformes;spurvefugler;;;4348;LC
Common Chiffchaff;Phylloscopus collybita;357.0;360.0;0.9182837009429932;Phylloscopus collybita_Common Chiffchaff;data_input_lyd/19.05.2025, 07-39.wav;19.05.2025, 07-39.wav;4458;gransanger;Phylloscopidae;bladsangerfamilien;Passeriformes;spurvefugler;;;4458;LC
